Applicant,Category,Project Title,Research Area,,,,,,,
Hong Kong Generative AI Research and Development Center Limited,R&D centres,Hong Kong Audio Foundation Model,Large language models,,,,,,,
"Hong Kong Institute of AI for Science, City University of Hong Kong",Local institutions,Protein Foundation Model for Protein Design,Synthetic biology,,,,,,,
"Hong Kong Institute of AI for Science, City University of Hong Kong",Local institutions,"Moma, Modular Pretrained Foundation for Heterogeneous Material Learning",New materials,,,,,,,
The Hong Kong Polytechnic University,Local institutions,Enhancing Edge-Based Foundation Models for Advanced Reasoning ,Large language models,,,,,,,
Electrical & Mechanical Services Department,Government bureaux and departments,E&M AI Agent for environmental risk assessment + LLM-based Government Contract Generation AI Agent,AI agents,,,,,,,
Hong Kong Telecommunications (HKT) Limited,Enterprises,Unlocking Innovation with the AI Connectivity Highway,Small and large language models,,,,,,,
The Hong Kong Polytechnic University,Local institutions,Multimodal Large Language Model-Based Approaches for Hepatocellular Carcinoma Precision Medicine ,Medical large language models,,,,,,,
The University of Hong Kong – School of Computing and Data Science,Local institutions,Developing a Reliable and Interpretable Multimodal Large Language Model for Medical Reasoning,Medical large language models,,,,,,,
The University of Hong Kong – School of Computing and Data Science,Local institutions,Advancing Vision-Language-Action Models for Generalist Robot Policy,Embodied AI,,,,,,,
The Hong Kong Polytechnic University – Department of Industrial and Systems Engineering,Local institutions,The Study of Multimodal Large Language Models in Internet Marketing and Consumer Behaviour Research,Large language models application,,,,,,,
The University of Hong Kong – Department of Electrical and Electronic Engineering,Local institutions,Real-Time Generation and Rendering of 3D Scenes,Generative AI,,,,,,,
"Centre for Artificial Intelligence and Robotics (CAIR), Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",R&D centres,Development of Multi-modal Large Language Model for Medical Diagnosis and Surgery,Medical large language models,,,,,,,
"The Chinese University of Hong Kong, Information Technology Services Centre",Local institutions,"The application includes two projects:
(a)   Multi-granularity Chest X-Ray Analysis Leveraging Multimodal Large Language Models for Comprehensive Anatomical and Clinical Insights
(b)   Advancing Earth System Science Through AI-Driven Environmental Monitoring and Prediction","The two projects involve the following areas respectively:
(a)   Medical large language models
(b)   Environmental large language models",,,,,,,
The Hong Kong Polytechnic University,Local institutions,Collaborative Cancer Foundation Modeling Platform Powered by Multimodal Large Language Models (MLLMS),Large language models application,,,,,,,
Pureverse Company Limited,Start-ups,Pureverse AI Mental Wellness Platform,Large language models application,,,,,,,
