申請機構,機構類別,項目名稱,涉及範疇
香港生成式人工智能研發中心,研發機構,香港音聲基座大模型,大語言模型
"香港城市大學
香港人工智能與科學研究院",本地院校,新一代蛋白質基座賦能蛋白質定向設計,合成生物學
"香港城市大學
香港人工智能與科學研究院",本地院校,Moma，多源異構材料分子預訓練模型,新材料
香港理工大學,本地院校,增強邊緣基礎模型以實現高級推理,大語言模型
機電工程署,政府決策局及部門,環境風險評估人工智能代理及大模型政府合同人工智能代理,人工智能代理
香港電訊有限公司,企業,AI數據通道：開啟創新與轉型之道,小語言、大語言模型
香港理工大學,本地院校,基於多模態大語言模型的肝細胞癌精準治療,醫學大模型
"香港大學
計算與數據科學學院",本地院校,開發可靠且可解釋的多模態醫療推理大語言模型,醫學大模型
"香港大學
計算與數據科學學院",本地院校,推進視覺-語言-動作模型以實現通用機器人,具身人工智能
"香港理工大學
工業及系統工程學系",本地院校,多模態大語言模型在互聯網行銷與消費者行為研究中的融合研究,大語言模型應用
"香港大學
電機電子工程系",本地院校,3D 場景實時渲染生成,生成式人工智能
"中國科學院香港創新研究院
人工智能與機器人創新中心",研發機構,用於醫學診斷和手術的多模態大語言模型研發,醫學大模型
"香港中文大學
資訊科技服務處",本地院校,"申請包括兩個項目：
(a)	利用多模態大型語言模型進行多粒度胸部X光分析以獲得全面的解剖學和臨床洞察
(b)	透過AI驅動的環境監測與預測推進地球系統科學發展","兩個項目分別涉及：
(a)	醫學大模型
(b)	環境大模型"
香港理工大學,本地院校,基於多模態大語言模型的協作式癌症基礎建模平台,大語言模型應用
Pureverse 集團有限公司,初創企業,Pureverse AI 心理健康平台,大語言模型應用
