,NASDAQ_SPCX,HL_SPCX,HL_SPCXD,HL_SPCX_filled,HL_SPCXD_filled
2026-06-12 15:00:00+00:00,,,164.01,,164.01
2026-06-12 16:00:00+00:00,,,172.43,,172.43
2026-06-12 17:00:00+00:00,,,172.31,,172.31
2026-06-12 18:00:00+00:00,,,172.31,,172.31
2026-06-12 19:00:00+00:00,,,172.31,,172.31
2026-06-12 20:00:00+00:00,,,164.12,,164.12
2026-06-12 21:00:00+00:00,,,167.08,,167.08
2026-06-12 22:00:00+00:00,,,166.44,,166.44
2026-06-12 23:00:00+00:00,,,166.78,,166.78
2026-06-13 00:00:00+00:00,,,166.41,,166.41
2026-06-13 01:00:00+00:00,,,165.21,,165.21
2026-06-13 02:00:00+00:00,,,165.31,,165.31
2026-06-13 03:00:00+00:00,,,165.31,,165.31
2026-06-13 04:00:00+00:00,,,164.9,,164.9
2026-06-13 05:00:00+00:00,,,165.88,,165.88
2026-06-13 06:00:00+00:00,,,164.57,,164.57
2026-06-13 07:00:00+00:00,,,164.57,,164.57
2026-06-13 08:00:00+00:00,,,164.57,,164.57
2026-06-13 09:00:00+00:00,,,165.43,,165.43
2026-06-13 10:00:00+00:00,,,165.29,,165.29
2026-06-13 11:00:00+00:00,,,165.05,,165.05
2026-06-13 12:00:00+00:00,,,165.05,,165.05
2026-06-13 13:00:00+00:00,,,165.4,,165.4
2026-06-13 14:00:00+00:00,,,165.4,,165.4
2026-06-13 15:00:00+00:00,,,165.4,,165.4
2026-06-13 16:00:00+00:00,,,165.4,,165.4
2026-06-13 17:00:00+00:00,,,165.4,,165.4
2026-06-13 18:00:00+00:00,,,165.4,,165.4
2026-06-13 19:00:00+00:00,,,165.14,,165.14
2026-06-13 20:00:00+00:00,,,164.25,,164.25
2026-06-13 21:00:00+00:00,,,165.93,,165.93
2026-06-13 22:00:00+00:00,,,165.56,,165.56
2026-06-13 23:00:00+00:00,,,165.56,,165.56
2026-06-14 00:00:00+00:00,,,165.56,,165.56
2026-06-14 01:00:00+00:00,,,165.56,,165.56
2026-06-14 02:00:00+00:00,,,165.56,,165.56
2026-06-14 03:00:00+00:00,,,165.56,,165.56
2026-06-14 04:00:00+00:00,,,165.56,,165.56
2026-06-14 05:00:00+00:00,,,165.56,,165.56
2026-06-14 06:00:00+00:00,,,165.56,,165.56
2026-06-14 07:00:00+00:00,,,166.87,,166.87
2026-06-14 08:00:00+00:00,,,167.66,,167.66
2026-06-14 09:00:00+00:00,,,166.23,,166.23
2026-06-14 10:00:00+00:00,,,166.23,,166.23
2026-06-14 11:00:00+00:00,,,167.11,,167.11
2026-06-14 12:00:00+00:00,,,167.07,,167.07
2026-06-14 13:00:00+00:00,,,167.07,,167.07
2026-06-14 14:00:00+00:00,,,167.07,,167.07
2026-06-14 15:00:00+00:00,,,167.07,,167.07
2026-06-14 16:00:00+00:00,,,166.26,,166.26
2026-06-14 17:00:00+00:00,,,166.93,,166.93
2026-06-14 18:00:00+00:00,,,166.93,,166.93
2026-06-14 19:00:00+00:00,,,166.93,,166.93
2026-06-14 20:00:00+00:00,,,166.93,,166.93
2026-06-14 21:00:00+00:00,,,166.93,,166.93
2026-06-14 22:00:00+00:00,,,166.93,,166.93
2026-06-14 23:00:00+00:00,,,167.45,,167.45
2026-06-15 00:00:00+00:00,,,167.45,,167.45
2026-06-15 01:00:00+00:00,,,167.45,,167.45
2026-06-15 02:00:00+00:00,,,167.04,,167.04
2026-06-15 03:00:00+00:00,,,167.04,,167.04
2026-06-15 04:00:00+00:00,,,167.04,,167.04
2026-06-15 05:00:00+00:00,,,167.04,,167.04
2026-06-15 06:00:00+00:00,,,167.04,,167.04
2026-06-15 07:00:00+00:00,,,172.19,,172.19
2026-06-15 08:00:00+00:00,,,170.74,,170.74
2026-06-15 09:00:00+00:00,,,170.74,,170.74
2026-06-15 10:00:00+00:00,,,169.75,,169.75
2026-06-15 11:00:00+00:00,,,169.75,,169.75
2026-06-15 12:00:00+00:00,,,170.33,,170.33
2026-06-15 13:00:00+00:00,,,170.5,,170.5
2026-06-15 14:00:00+00:00,,,173.99,,173.99
2026-06-15 15:00:00+00:00,,,176.92,,176.92
2026-06-15 16:00:00+00:00,,,178.0,,178.0
2026-06-15 17:00:00+00:00,,,185.0,,185.0
2026-06-15 18:00:00+00:00,,,186.92,,186.92
2026-06-15 19:00:00+00:00,,,190.0,,190.0
2026-06-15 20:00:00+00:00,,,193.67,,193.67
2026-06-15 21:00:00+00:00,,,197.18,,197.18
2026-06-15 22:00:00+00:00,,195.7,196.68,195.7,196.68
2026-06-15 23:00:00+00:00,,198.9,199.99,198.9,199.99
2026-06-16 00:00:00+00:00,,207.74,227.26,207.74,227.26
2026-06-16 01:00:00+00:00,,231.26,214.46,231.26,214.46
2026-06-16 02:00:00+00:00,,201.31,212.24,201.31,212.24
2026-06-16 03:00:00+00:00,,201.31,,201.31,212.24
2026-06-16 04:00:00+00:00,,201.31,,201.31,212.24
2026-06-16 05:00:00+00:00,,232.64,,232.64,212.24
