"Date","Perp_Open","Perp_High","Perp_Low","Perp_Close","Perp_Volume","Stock_Open","Stock_High","Stock_Low","Stock_Close","Stock_Volume"
2026-05-17,180,216,179.9,216,25885.12,NA,NA,NA,NA,NA
2026-05-18,216,230,193.11,200.35,269702.24,NA,NA,NA,NA,NA
2026-05-19,200.39,205,195,204.68,33860.03,NA,NA,NA,NA,NA
2026-05-20,204.68,208.93,194,200.92,54642.96,NA,NA,NA,NA,NA
2026-05-21,200.91,219.8,194.96,207.62,172989.81,NA,NA,NA,NA,NA
2026-05-22,207.61,212,194.42,196.75,107831.13,NA,NA,NA,NA,NA
2026-05-23,196.77,202.15,195.16,201.92,67359.68,NA,NA,NA,NA,NA
2026-05-24,201.78,209.2,201.72,207,109750.54,NA,NA,NA,NA,NA
2026-05-25,207,208.71,206.11,207.6,27302.23,NA,NA,NA,NA,NA
2026-05-26,207.69,207.9,200.18,202.99,74441.64,NA,NA,NA,NA,NA
2026-05-27,202.99,205.14,200.85,201.13,40374.82,NA,NA,NA,NA,NA
2026-05-28,201.21,201.8,196.58,199.06,51279.44,NA,NA,NA,NA,NA
2026-05-29,199.07,199.92,190.8,194.79,109527.28,NA,NA,NA,NA,NA
2026-05-30,194.75,203.79,193.52,201.14,41036.62,NA,NA,NA,NA,NA
2026-05-31,201.18,204.93,200.24,203.75,29028.67,NA,NA,NA,NA,NA
2026-06-01,203.75,206.09,195.15,198.36,120483.46,NA,NA,NA,NA,NA
2026-06-02,198.38,202.82,195.8,196.76,67485.19,NA,NA,NA,NA,NA
2026-06-03,196.72,197,182.01,189,270249.81,NA,NA,NA,NA,NA
2026-06-04,188.89,189.87,167.5,175.96,227638.41,NA,NA,NA,NA,NA
2026-06-05,176.11,179.44,161.2,166.87,184041.4,NA,NA,NA,NA,NA
2026-06-06,166.83,169.03,162.19,167.32,69573.84,NA,NA,NA,NA,NA
2026-06-07,167.3,179.82,165.64,171.45,122351.13,NA,NA,NA,NA,NA
2026-06-08,171.33,173.33,155.68,161.02,572385.11,NA,NA,NA,NA,NA
2026-06-09,161.01,161.07,153.33,155.67,453203.21,NA,NA,NA,NA,NA
2026-06-10,155.69,166.18,155.05,163,418957.2,NA,NA,NA,NA,NA
2026-06-11,162.99,174.66,159.13,172.84,760923.85,NA,NA,NA,NA,NA
2026-06-12,172.85,185,152.34,166.72,8226943.5,150,176.520004272461,149.339996337891,160.949996948242,519234800
2026-06-13,166.71,166.79,162.27,164.91,382977.31,NA,NA,NA,NA,NA
2026-06-14,165.03,169.6,164.69,167.94,264351.12,NA,NA,NA,NA,NA
2026-06-15,168.01,202.17,166.94,199.18,3479392.95,171.740005493164,193,168.350006103516,192.5,256226600
2026-06-16,199.27,228.74,195.26,206.11,7878578.69,200.509994506836,225.639999389648,199.979995727539,211.389999389648,195401600
2026-06-17,206.1,213.98,187.46,195.29,4538982.03,209.839996337891,213.800003051758,187.009994506836,191.820007324219,201719500
2026-06-18,195.27,195.56,172.44,181.76,4827108.59,188.389999389648,190,172.110000610352,185,272126800
2026-06-19,181.79,184,176.3,180.15,764460.73,NA,NA,NA,NA,NA
2026-06-20,180.13,181.9,178.83,181.62,220418.6,NA,NA,NA,NA,NA
2026-06-21,181.57,181.95,175.32,175.91,242241.34,NA,NA,NA,NA,NA
2026-06-22,175.91,181.32,153,156.87,5699121.58,176.039993286133,176.75,154,154.600006103516,169183800
2026-06-23,156.87,165,147,156.98,6803801.86,151.059997558594,165.5,147.110000610352,156.110000610352,155274700
2026-06-24,156.99,158.08,153.3,155.57,134206.52,NA,NA,NA,NA,NA
